"","Canopy.W1","Canopy.W2","Max.Height","SA.Leaf","Stem.Volume","Stem.Biomass","SSD","Biomass.Leaf","SLA.Leaf","Root.Biomass","Root.Length","Root.AvgDiam","Root.Volume","SRL","RTD","N.shoot","C.shoot","N.root","C.root"
"Pengra",6.525,4.6,25.075,3.56666666666667,0.425,104.5575,407.71916675,34.9694444444444,118.346917322222,201.5,198.36115,0.52675,0.4505,1059.238987,440.3231265,1.705,46.7,0.83,44.84
"Phlpra",11.1083333333333,3.16666666666667,36.3666666666667,4.12508333333333,0.281818181818182,107.77375,379.130803625,27.1523333333333,171.945433,73.2109090909091,317.790890909091,0.253072727272727,0.150636363636364,4952.28462454545,524.38644,1.1675,43.1875,0.535,44.41
"Poacus",48.14,47.4,36.4,1.09333333333333,0.14,22.155,175.675,10.995,103.470831746667,290.683,1006.61244,0.23828,0.4692,3652.786592,625.7496708,NA,NA,NA,NA
"Poaint",9.6,6.75,33.0333333333333,0.544444444444445,0.1,11.33375,113.3375,4.22277777777778,128.022262455556,121.98625,1267.97471666667,0.1661,0.256666666666667,8451.8007875,597.79607325,1.24,44.8833333333333,1.27333333333333,44.98
"Poapra",12.8333333333333,2.77777777777778,20.6055555555556,2.55725641025641,0.136363636363636,44.609,389.296428571429,19.9921078431373,127.592715912821,32.3428571428571,408.267817647059,0.170958823529412,0.0875294117647059,10220.77615,513.372367,1.358,42.822,0.636470588235294,43.5870588235294
"Polcon",16,12.85,35.3,NA,0.1,5.2625,52.625,NA,NA,11.2375,152.89365,0.14405,0.0235,12890.919415,492.6159275,NA,NA,NA,NA
"Potans",14.9,9.85,13.4,NA,NA,NA,NA,NA,NA,168.3625,75.7233,0.6881,0.313,491.7822635,570.1247915,NA,NA,NA,NA
"Potarg",18.3181818181818,10.5363636363636,31.4818181818182,33.4427,1.075,153.238,178.34816225,289.268833333333,132.187023746667,102.856,391.336318181818,0.403054545454545,0.488909090909091,2065.0753018,752.3018684,1.84142857142857,45.29,0.921428571428571,44.6314285714286
"Potbip",16.5,11.0666666666667,24.1,NA,0.25,85.88,340.75,NA,NA,50.91,64.5039,0.437533333333333,0.0976666666666667,852.706737,636.375,NA,NA,NA,NA
"Potcon",8.8,5.12,6.86,4.35,0.075,9.1425,135.5,38.2763888888889,123.994165977778,4.6075,54.66418,0.9008,0.4788,9155.839775,368.625,2.13333333333333,45.5633333333333,1.5,44.13
"Potgra",24,16.3,44.4,33.12,0.8,195.746,266.814,275.9,125.594951746667,91.4775,110.81394,0.5261,0.2736,1429.058771,663.6337965,1.774,44.648,0.732,44.294
"Potpen",22.2,9.22857142857143,29.2571428571429,NA,0.58,119.4875,194.40875,96.9166666666667,NA,49.0525,78.4632,0.41078,0.1168,1781.968875,582.671066,1.39,44.27,1.11,41.48
"Ranacr",40.5,25,26,NA,1.25,93.4925,85.4475,216.178333333333,NA,14.97,107.4048,0.27935,0.067,7942.699605,215.7595085,2.45,42.59,0.885,43.79
"Ratcol",8.975,5.6,22.75,2.66666666666667,0.3625,126.95375,351.5139285,19.6083333333333,137.015347333333,NA,91.7016,0.366366666666667,0.0963333333333333,NA,NA,NA,NA,NA,NA
"Riboxy",26.1,23.4,53.2,NA,4,1736.845,434.21125,NA,NA,185.52,170.5878,0.4295,0.247,919.511643,751.093117,NA,NA,NA,NA
